Country Name,Time,Country Code,"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]",Adjusted savings: particulate emission damage (% of GNI) [NY.ADJ.DPEM.GN.ZS],"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) [SH.DTH.COMM.ZS]","Cause of death, by non-communicable diseases (% of total) [SH.DTH.NCOM.ZS]",Domestic general government health expenditure per capita (current US$) [SH.XPD.GHED.PC.CD],Individuals using the Internet (% of population) [IT.NET.USER.ZS],Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],Lifetime risk of maternal death (1 in: rate varies by country) [SH.MMR.RISK],"Maternal mortality ratio (modeled estimate, per 100,000 live births) [SH.STA.MMRT]","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%) [SH.DYN.NCOM.FE.ZS]","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population) [SH.STA.AIRP.P5]","Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population) [SH.STA.AIRP.FE.P5]","Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population) [SH.STA.AIRP.MA.P5]","Mortality rate attributed to unintentional poisoning, female (per 100,000 female population) [SH.STA.POIS.P5.FE]","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) [SH.STA.WASH.P5]",People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],"People using at least basic sanitation services, urban (% of urban population) [SH.STA.BASS.UR.ZS]",Prevalence of anemia among children (% of children under 5) [SH.ANM.CHLD.ZS]
Kuwait,2016,KWT,100,0.101488242,15.369,14.8,72.4,900.6123657,78.36738376,0.023837063,4200,12,14.7,103.8,89,114,0.1,0.1,100,100,..,25.3
Kyrgyz Republic,2016,KGZ,99.99273459,0.303474991,26,9.6,82.7,28.5672226,37,0.222592501,450,63,17.3,110.7,87,142,0.4,0.8,87.42695568,96.5211618,91.79413636,38.3
Lao PDR,2016,LAO,86.76116492,0.667442622,24.337,31.4,59.6,17.88978958,21.87,0.605506893,170,196,24.9,188.5,182,196,0.8,11.3,79.94190199,71.93004839,93.61408145,43.8
Late-demographic dividend,2016,LTE,99.14490985,0.23918826,13.53268043,5.881718851,86.42053962,255.8995318,56.75187195,0.061595753,1600,35,13.94483851,89.32320299,75.7295456,104.8519091,1.1211481,0.753578314,93.83776348,86.02794563,91.79636323,24.18764259
Latin America & Caribbean,2016,LCN,89.89511324,0.15510502,16.8603226,13.626839,74.65848122,326.4648705,57.35461427,0.163867467,610,76,13.59396277,39.33399853,32.54968328,47.315816,0.345333233,1.666678406,96.46652656,86.51151437,90.75119776,28.43162564
Latin America & Caribbean (excluding high income),2016,LAC,89.56211244,0.160253248,17.03980615,13.85078539,74.23577712,306.9935145,56.38747414,0.169725141,590,78,13.72373005,39.99786696,33.18159252,48.00485325,0.354593691,1.722627139,96.34564327,85.97681671,90.38056947,28.65245592
Latin America & the Caribbean (IDA & IBRD countries),2016,TLA,89.66330775,0.155904293,17.03175765,13.7638995,74.41210726,315.4273038,57.52467638,0.166481782,600,76,13.59038999,39.16187536,32.39112123,47.13318897,0.342722338,1.680652712,96.48023726,86.31737961,90.7246105,28.41948063
Latvia,2016,LVA,100,0.1552812,11.2,2.7,91.8,488.200592,79.84209778,0.04263954,2300,26,13.4,41.3,28,60,0.3,0.1,98.57478637,91.78196205,96.05245132,26.1
Least developed countries: UN classification,2016,LDC,33.9255882,0.849831409,32.15847168,47.54998568,41.94551909,10.82193578,15.06093524,1.859631299,54,427,20.51892007,166.680347,157.2707026,177.1028493,1.869889264,34.34608809,63.77437211,33.47962144,46.37031617,56.98440846
Lebanon,2016,LBN,100,0.304353034,17.744,3.6,90.6,331.6714172,76.11,0.06192644,1600,29,15.2,51.4,41,61,0.3,0.8,92.6,96.92084295,..,25
Lesotho,2016,LSO,18.94987902,1.024495491,27.501,59.3,32.3,54.56646347,27.36,1.802205188,55,559,25.2,177.6,166,196,3.3,44.4,68.62891179,40.77341633,41.31493962,50.4
Liberia,2016,LBR,5.454986511,1.218114438,33.843,58.5,31.4,9.831602097,7.319106411,3.13199191,32,661,17.7,170.2,172,168,1.1,41.5,72.44900137,16.83280719,27.77997168,68.6
Libya,2016,LBY,71.69437408,0.637819123,19.935,8,71.9,..,20.27215956,0.177744564,560,73,15.9,71.9,54,92,0.4,0.6,98.52894737,100,..,28.8
Liechtenstein,2016,LIE,100,..,10,..,..,..,98.09390389,..,..,..,..,..,..,..,..,..,100,99.95,..,..
Lithuania,2016,LTU,100,..,10.7,3.6,89.8,650.0319214,74.37664556,0.01346699,7400,8,12.4,34,23,51,0.3,0.1,97.07374359,92.81072301,97.06451299,25.5
Low & middle income,2016,LMY,75.7859385,0.357520869,20.52136096,23.11943296,67.64080184,118.2221164,37.1359991,0.63351838,160,234,17.12867536,132.1297561,117.7120155,147.9048012,1.410762945,13.89874672,87.25336561,67.42876657,80.29034356,44.53199287
Low income,2016,LIC,27.59507811,1.054672637,35.19420766,50.11571278,37.89169427,7.902006364,13.08290863,2.325102533,43,476,20.27760672,172.6826545,162.9715249,184.1553334,2.184033878,40.4606078,56.56866404,29.79507331,44.39727264,58.5897068
Lower middle income,2016,LMC,76.33259657,0.704987315,22.24653801,30.25400241,60.29685499,25.59472304,26.0708924,0.758677886,130,259,20.06542673,167.1131568,150.2362595,184.9368651,1.553401306,19.18331215,87.97071226,59.26194709,71.11201201,51.49636934
Luxembourg,2016,LUX,100,0.04100442,10.4,4.9,88.4,4747.103516,98.13669867,0.00829593,12100,5,7.7,11.6,8,15,0.1,0.1,99.90687142,97.60554225,97.48433664,12.6
"Macao SAR, China",2016,MAC,100,..,11.31,..,..,..,81.64298546,..,..,..,..,..,..,..,..,..,100,..,..,..
Madagascar,2016,MDG,0,1.538150548,33.138,46.2,43.2,11.27583694,4.713662899,1.589389662,63,348,21.5,159.6,153,167,2.6,30.2,53.18464963,10.12063953,17.22731474,48.8
Malawi,2016,MWI,4.871584495,0.910379994,35.163,59.7,31.7,8.252727509,11.47,1.749094497,57,358,14.5,115,104,130,1.5,28.3,67.91184011,25.90400219,33.93290037,59.2
Malaysia,2016,MYS,100,0.230997736,16.957,17.5,73.6,182.4657135,78.78830993,0.063652659,1600,29,14,47.4,39,56,0.3,0.4,96.72461587,99.56485343,99.86251011,30.8
Maldives,2016,MDV,99.95500033,0.061328431,15.641,8,84.4,760.2227783,59.09258997,0.125220073,800,54,10.3,25.6,21,30,0,0.3,99.23921181,99.21069892,99.1348876,39
Mali,2016,MLI,9.313746398,1.597130576,42.638,60.6,30.5,9.415342331,11.11218649,3.707661292,27,590,26.2,209.1,216,201,2.4,70.7,76.58434968,37.74745111,52.01060399,83.4
Malta,2016,MLT,100,0.063967458,9.8,6.4,90.5,1463.74353,78.0751488,0.0095468,10500,6,8,20.2,15,26,0.1,0.1,99.99999822,99.95887563,99.95647482,13.3
Marshall Islands,2016,MHL,88.53932954,..,..,..,..,263.2951355,29.78777936,..,..,..,..,..,..,..,..,..,87.35748409,83.23294667,90.9315135,36.1
Mauritania,2016,MRT,0,0.587045098,34.569,53.4,37.2,17.84304428,18,3.689926241,27,777,18,169.5,157,184,1.2,38.6,68.83201784,45.93043239,71.61268252,67.9
Mauritius,2016,MUS,100,0.18410404,10.4,6.5,88.7,243.9844971,52.19132594,0.094394853,1100,67,17.5,38.3,28,50,0.1,0.6,99.86639665,95.50537854,95.96853657,39.1
Mexico,2016,MEX,98.33106794,0.167824788,18.245,9.8,79.9,248.6588593,59.540446,0.079424994,1300,34,14.1,36.7,30,44,0.3,1.1,98.88367938,90.30357097,92.74917641,28.2
"Micronesia, Fed. Sts.",2016,FSM,74.42186113,..,23.069,18.5,74.8,107.6559677,33.35216255,0.275605335,360,90,23.1,151.8,135,171,0.6,3.6,78.56647902,88.30933155,..,38.2
Middle East & North Africa,2016,MEA,94.38199902,0.201523139,23.49055241,12.05348393,74.54913524,262.4228595,48.49469226,0.179003863,560,58,16.69372488,78.51108421,67.49939988,90.08349591,0.611400822,2.15814077,93.92780321,90.41001967,93.90435031,34.468346
Middle East & North Africa (excluding high income),2016,MNA,94.05758135,0.318764771,24.5488393,12.24265731,74.36176796,121.1392493,43.21821218,0.20078726,500,63,17.23497712,80.60989073,69.13188724,93.33540468,0.649773527,2.511969561,93.06922093,88.81401579,93.56324818,34.82057069
Middle East & North Africa (IDA & IBRD countries),2016,TMN,94.01352436,0.318764771,24.47695354,12.24265731,74.36176796,121.1392493,42.99068822,0.201691374,500,63,17.23497712,80.60989073,69.13188724,93.33540468,0.649773527,2.511969561,93.02856536,88.71718108,93.50649724,34.94684968
Middle income,2016,MIC,83.91172542,0.348023471,18.75210142,19.4999873,71.62932467,129.72748,39.90992924,0.439729184,230,179,16.88322292,127.2344198,112.1363301,143.6163646,1.315500856,10.69233609,90.9544608,71.96802796,82.99804288,41.54045892
Moldova,2016,MDA,100,0.266117024,10.445,4.2,90.1,83.52581024,70.99999911,0.027174653,3700,20,17.3,78.3,61,102,0.7,0.1,88.68506143,75.82827451,86.0855916,26.3
Monaco,2016,MCO,100,..,7.8,..,..,2338.811523,95.20817797,..,..,..,..,..,..,..,..,..,100,100,100,..
Mongolia,2016,MNG,52.47719553,0.369345969,25.425,9.7,79.7,96.99317169,22.2657705,0.144637541,690,46,21.9,155.9,119,203,1,1.3,82.80057761,58.46301597,66.32877723,30.3
Montenegro,2016,MNE,100,0.139120679,11.804,1.4,95,..,69.88164684,0.010229795,9800,6,14.9,78.6,62,98,0.4,0.1,97.05335595,97.7542038,99.73706642,26.9
Morocco,2016,MAR,99.9846277,0.425741074,19.868,14,79.6,65.22773743,58.27123642,0.185406178,540,72,11.3,49.1,42,58,0.5,1.9,86.63644194,88.41946438,94.35506608,34
Mozambique,2016,MOZ,2.393185412,0.601186055,38.236,65.3,26.9,5.733464241,17.52123909,1.574026967,64,301,17.4,110,106,114,2.4,27.6,53.44393425,28.10895765,51.06813409,60.2
Myanmar,2016,MMR,39.80993991,0.565197564,17.861,23.6,67.8,8.172048569,25.07330424,0.532319253,190,245,21.5,156.4,133,188,1.9,12.6,80.84426367,64.70898086,76.38364622,52.9
Namibia,2016,NAM,27.49968407,0.402189315,29.534,49.3,40.9,189.0308685,31.03334594,0.761841697,130,207,18.7,145,129,168,1.5,18.3,82.21805725,34.21341445,51.89228093,47.1
Nauru,2016,NRU,..,..,..,..,..,866.5294189,..,..,..,..,..,..,..,..,..,..,99.48493442,65.59552643,65.59552643,..
Nepal,2016,NPL,89.81199891,0.802840045,20.515,25,66.2,8.444965363,19.68876384,0.473845878,210,200,19.2,193.8,173,217,0.3,19.8,88.34640596,58.8717272,64.93630352,42.7
Netherlands,2016,NLD,100,0.061932528,10.1,5.2,89.6,3081.033447,90.4109589,0.009194423,10900,6,9.7,13.7,11,17,0.1,0.2,99.99999928,97.72421693,97.5,12.5
New Caledonia,2016,NCL,100,..,15.4,..,..,..,..,..,..,..,..,..,..,..,..,..,99.32859759,100,..,..
New Zealand,2016,NZL,100,0.043180537,12.65,4.6,89.5,2792.192383,88.47018635,0.018237049,5500,10,8.6,7.2,6,9,0.1,0.1,99.99999869,99.99999869,100,13
Nicaragua,2016,NIC,65.57445856,0.222145883,21.468,10.9,76.4,112.9128189,24.57183396,0.268941433,370,100,13.7,55.7,50,63,0.4,2.2,81.50474058,74.38843114,83.67279488,29.2
Niger,2016,NER,9.839402049,1.466811574,47.017,62.7,27,5.509514809,4.32275803,3.947401943,25,530,19.8,251.8,237,267,3,70.8,49.50156237,13.16234617,42.82032011,77.3
Nigeria,2016,NGA,33.97045837,1.748638294,38.873,62.7,29,10.33370018,25.67,4.96568115,20,925,23.9,307.4,313,301,2.2,68.6,70.02552775,38.4146317,46.65399371,68.3
North America,2016,NAC,100,0.110931911,12.03870907,5.233510975,88.3,7595.002324,86.11499711,0.032413467,3100,18,11.40786076,12.66664279,9.498398324,16.19400087,0.749839832,0.220106578,99.27879238,99.90493978,99.93500571,8.579878571
North Macedonia,2016,MKD,100,0.267463718,11.075,1.9,95.3,208.4133759,72.15681447,0.012269166,8200,8,15.4,82.2,64,103,0.3,0.1,93.15266666,98.7025715,99.9997092,25.1
Northern Mariana Islands,2016,MNP,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,78.69368964,..,..
Norway,2016,NOR,100,0.026989305,11.3,7.3,87,6400.700195,97.29820367,0.004419631,22600,3,7.7,8.6,7,10,0.1,0.2,99.99999652,98.05554158,98,12.1
Not classified,2016,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
OECD members,2016,OED,99.83525322,0.089521328,11.68213556,6.683706931,87.62969,3727.373454,80.71077102,0.025584027,3900,15,9.499375862,18.87582631,13.77761591,25.03940725,0.395815738,0.379640452,99.43320937,98.43072368,98.64852461,15.9842465
Oman,2016,OMN,100,0.093063633,20.292,10.5,71.9,573.1263428,76.84539047,0.064319585,1600,19,15.5,53.9,43,62,0.1,0.1,91.75999743,99.99999724,100,38.4
Other small states,2016,OSS,50.64607008,0.134212374,23.74460358,39.52580624,51.84732146,412.7891995,46.29104983,1.019029989,98,310,16.58338197,113.4078719,107.4362456,120.9559713,1.137275457,16.19518389,85.51659507,65.68729438,69.51575495,51.13166946
Pacific island small states,2016,PSS,74.29413015,0.715995801,26.64946924,15.10603512,78.29576371,121.8325473,30.23606451,0.257156239,390,71,21.78715839,115.9792341,90.43370728,144.340114,0.442241982,5.232261326,85.5467479,69.15485431,87.93426942,38.71766315
Pakistan,2016,PAK,55.32779296,0.822809753,28.888,34.9,57.8,11.78534031,12.38544676,0.56488114,180,143,22.6,173.6,149,197,3.9,19.6,91.1401418,58.2573676,76.17757496,58.8
Palau,2016,PLW,100,..,12,..,..,875.4070435,..,..,..,..,..,..,..,..,..,..,100.0000044,100.0000044,100,..
Panama,2016,PAN,91.18976845,0.096224436,19.562,15.6,74.6,682.4314575,54,0.143682263,700,55,10.8,25.8,21,31,0.2,1.9,95.97945203,82.22911762,91.43779786,28.7
Papua New Guinea,2016,PNG,44.91242252,0.78581819,27.669,36.1,55.9,43.08295822,9.601538462,0.553796019,180,148,26.6,152,125,184,0.7,16.3,40.73221696,13.53812308,48.66761587,48.4
Paraguay,2016,PRY,96.05128102,0.214192061,20.993,13.7,74.4,168.9285583,53.40412748,0.358410342,280,130,16.3,57.5,49,66,0.3,1.5,98.56574807,88.72906349,93.65752154,25.7
Peru,2016,PER,77.9748409,0.116308727,18.323,20.3,69.2,194.5569,45.46174069,0.218255796,460,91,11.2,63.9,55,74,0.6,1.3,90.58556948,73.84703641,79.43953623,31.9
Philippines,2016,PHL,88.58400405,0.356610644,21.623,25.2,67.3,41.23924637,55.5,0.35384476,280,124,21,185.2,151,225,0.2,4.2,93.07371231,75.39533489,77.99708146,17.5
Poland,2016,POL,100,0.136877306,10.1,5,90.3,559.7526855,73.3007041,0.003477065,28800,2,12.4,37.9,26,53,0.2,0.1,99.38384893,98.38310106,98.24067572,26.3
Portugal,2016,PRT,100,0.060684765,8.4,10.2,85.6,1194.372681,70.42356709,0.010469855,9600,9,7,9.8,7,13,0.2,0.2,99.90618404,99.56670609,99.44502978,13.5
Post-demographic dividend,2016,PST,99.98099132,0.086407479,10.42435551,6.419955548,88.23830001,4295.442904,83.20461215,0.01806636,5500,11,9.273247172,17.40172279,12.85244993,23.05955704,0.472588268,0.317216124,99.23147342,99.1780663,99.13413104,12.55156284
Pre-demographic dividend,2016,PRE,26.28325881,1.132190466,37.52677744,57.06802865,32.37142665,13.50962767,16.5090307,3.017399268,33,575,20.95035935,197.0222817,192.6548672,201.5926602,2.183614981,48.51548462,60.99309215,32.79740084,47.17771464,60.57540329
Puerto Rico,2016,PRI,100,0.097838944,8.3,..,..,..,68.6438072,0.024707174,4000,20,..,..,..,..,..,..,97.120988,97.16391209,..,28.4
Qatar,2016,QAT,100,0.045040156,9.862,5.2,68.9,1491.390991,95.12466217,0.020392763,4900,9,13.7,47.4,37,52,0.1,0.1,99.62980166,100,..,26.3
Romania,2016,ROU,100,0.141772026,10.4,4.2,92.2,372.3422546,59.50395129,0.030217846,3300,21,13.9,59.3,44,79,0.3,0.4,100,83.55720095,95.11437176,26.8
Russian Federation,2016,RUS,100,0.230364316,12.9,4.8,87.4,267.1702576,73.09143462,0.032981337,3000,18,16.1,49.4,33,73,0.8,0.1,96.96095058,90.06288151,94.69589703,25.7
Rwanda,2016,RWA,18.96498558,0.882363285,32.353,42.4,44,16.28963089,20,1.131759903,88,260,17,121.4,118,125,1.5,19.3,56.9816187,65.41228848,52.65249937,36.2
Samoa,2016,WSM,99.76723635,0.419542718,25.036,12,81,173.4987793,29.41173011,0.174042785,570,44,14.7,85,58,116,0.3,1.5,97.30364572,98.11713321,98.5081203,43
San Marino,2016,SMR,100,..,7.9,..,..,2421.986816,..,..,..,..,..,..,..,..,..,..,100,100,..,..
Sao Tome and Principe,2016,STP,45.95696549,1.029045379,32.437,33.9,54.7,45.07312012,28,0.610424543,160,130,18.6,162.4,158,168,0.1,11.4,84.20084459,42.82965042,47.62429371,65.3
Saudi Arabia,2016,SAU,100,0.152247213,18.858,10.6,73.2,777.9089355,74.87927469,0.043625288,2300,17,14.2,83.7,72,93,0.5,0.1,99.86361215,99.90776106,..,37.8
Senegal,2016,SEN,44.50023739,0.614834877,35.727,45.7,42.1,13.18590832,25.66476804,1.627665839,61,330,17.2,160.7,152,172,1.6,23.9,79.46231534,50.78331894,64.95361319,67.9
Serbia,2016,SRB,100,0.318255519,9.2,2.4,94.6,286.5556335,67.05684137,0.017510472,5700,12,13.7,62.5,47,82,0.2,0.7,85.5288502,97.60069851,99.49463648,26.4
Seychelles,2016,SYC,100,..,17.4,11.9,80.8,542.5373535,56.51470815,0.128231297,780,54,13.2,49.3,31,70,0.5,0.2,96.24901256,100,..,35
Sierra Leone,2016,SLE,1.640354769,1.927689513,34.483,57.9,33.2,9.642926216,11.77318438,5.001759358,20,1120,32.6,324.1,333,314,3.1,81.3,59.56314329,15.29304218,25.31701683,77.3
Singapore,2016,SGP,100,0.078191466,9.4,22.7,73.6,1178.819702,84.45226789,0.010204088,9800,8,6.9,25.9,19,33,0.1,0.1,100,100,100,16.9
Sint Maarten (Dutch part),2016,SXM,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.07411955,98.78102656,..,..
Slovak Republic,2016,SVK,100,0.099809732,10.6,4.8,89.2,937.250061,80.47585728,0.00846211,11800,6,11.2,33.5,24,47,0.3,0.1,99.7875169,97.93170395,98.89492586,26.1
Slovenia,2016,SVN,100,0.052261832,9.9,5,88.4,1325.873413,75.49850426,0.01149744,8700,7,8.9,22.6,17,29,0.2,0.1,99.53438258,99.10944205,99.13232104,26.9
Small states,2016,SST,62.5000821,0.154016563,22.55539629,33.38211214,57.92230927,375.9592508,46.56373052,0.810140208,120,264,16.89379763,100.5102263,92.37348733,110.010625,0.926484017,12.74710943,87.15116067,70.20368997,72.87618702,47.36399212
Solomon Islands,2016,SLB,55.10306133,1.308098393,33.255,22.2,68.9,73.61877441,11.00090227,0.508769983,200,108,21.4,137,116,158,0.4,6.2,68.54479987,32.75394136,77.60587803,42.9
Somalia,2016,SOM,8.123170619,..,42.096,64.2,23.9,..,1.88,5.335751252,19,865,22,212.8,204,222,3.2,86.6,50.81510642,37.00522937,59.94588905,55.8
South Africa,2016,ZAF,67.6624847,0.301598281,21.314,39.6,51.3,230.4917297,54,0.313375078,320,122,21.2,86.7,66,118,1.1,13.7,92.27031216,74.82487755,76.00077975,36.8
South Asia,2016,SAS,80.77523073,0.785206073,19.91113094,26.95450038,62.35187644,14.95317654,20.23984948,0.445142032,220,169,20.10686466,179.2845691,160.7331011,197.3536916,1.926876799,17.82264346,91.58773847,56.4119849,69.33749996,55.11774562
South Asia (IDA & IBRD),2016,TSA,80.77523073,0.785206073,19.91113094,26.95450038,62.35187644,14.95317654,20.23984948,0.445142032,220,169,20.10686466,179.2845691,160.7331011,197.3536916,1.926876799,17.82264346,91.58773847,56.4119849,69.33749996,55.11774562
South Sudan,2016,SSD,18.5306122,..,35.738,63.4,27.3,..,6.679728051,5.407140238,18,1130,19.5,165.1,161,169,2.7,63.3,40.81390459,10.43676984,33.53325594,58
Spain,2016,ESP,100,0.045216496,8.8,5.1,91.4,1699.525879,80.56133294,0.004869382,20500,4,6.4,9.9,6,14,0.2,0.2,99.92650556,99.90428643,99.88011564,13.1
Sri Lanka,2016,LKA,94.81399123,0.334767583,16.364,7.5,82.8,66.01750946,16.4,0.079310411,1300,36,13.2,79.8,63,100,0.3,1.2,88.83598462,95.10703002,93.74618129,25.6
St. Kitts and Nevis,2016,KNA,100,..,..,..,..,401.8126526,76.81767491,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Lucia,2016,LCA,98.39997239,0.200546979,12.271,9.7,82,205.7016449,46.72907806,0.173647116,580,117,16.9,30,25,36,0.2,0.6,98.16222649,88.35991069,77.79603573,35.3
St. Martin (French part),2016,MAF,100,..,15.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,2016,VCT,100,0.257131314,14.58,13.4,81,192.0630951,20.68943522,0.133469608,750,67,19.1,47.6,40,56,0.2,1.3,95.1452199,87.1843449,..,32.9
Sub-Saharan Africa,2016,SSF,24.76350777,0.978718033,36.13155092,56.35656371,33.68902522,27.43749986,19.34122243,2.714709187,37,545,20.56137003,187.0884105,181.59682,193.3127852,2.162181259,47.1711815,60.01195185,30.30833626,44.35039544,59.93495631
Sub-Saharan Africa (excluding high income),2016,SSA,24.75843683,0.978718033,36.13328546,56.3603958,33.68496432,27.38572467,19.33774262,2.714947464,37,545,20.56250556,187.1011697,181.6103351,193.3245581,2.162330429,47.17553102,60.0085963,30.30188282,44.35039544,59.93614485
Sub-Saharan Africa (IDA & IBRD countries),2016,TSS,24.76350777,0.978718033,36.13155092,56.35656371,33.68902522,27.43749986,19.34122243,2.714709187,37,545,20.56137003,187.0884105,181.59682,193.3127852,2.162181259,47.1711815,60.01195185,30.30833626,44.35039544,59.93495631
Sudan,2016,SDN,38.5142391,1.366353351,32.923,35.2,52.2,39.03155518,14.09999994,1.41229885,71,308,24.3,184.9,175,196,2.9,17.3,60.21588504,36.48562591,60.14022363,57.2
Suriname,2016,SUR,89.31239459,0.192163154,19.042,13.3,75.9,220.4223938,45.4,0.308329313,320,121,17.2,56.7,42,74,0.3,2,94.51939812,84.14052193,89.405496,34.3
Sweden,2016,SWE,100,0.023309769,11.8,5.2,89.9,4759.442871,89.65094761,0.008172208,12200,4,7.6,7.2,6,9,0.3,0.2,99.99999628,99.29786352,99.24518362,12.3
Switzerland,2016,CHE,100,0.04649676,10.5,4.3,89.6,2921.820801,89.13468774,0.008182971,12200,5,6.6,10.1,8,13,0.1,0.1,100,99.89036265,99.8998999,12.9
Syrian Arab Republic,2016,SYR,78.21584189,..,24.525,5.1,45.1,..,31.86962727,0.094620411,1100,30,18.7,75.2,62,90,0.4,3.7,97.05907506,91.39603204,91.85587206,34.9
Tajikistan,2016,TJK,99.96166777,0.574180886,31.822,23.2,69.2,15.92824364,20.47,0.07376898,1400,17,22,129.3,115,145,0.9,2.7,79.62584952,96.57566996,94.81166654,31.3
Tanzania,2016,TZA,17.27067963,0.637999956,37.461,55.8,32.9,14.4214201,13,2.856217975,35,539,17.4,139,135,143,2.2,38.4,54.8475368,28.3903801,40.75838118,55.2
Thailand,2016,THA,100,0.168133913,10.676,15.8,74,171.1592865,47.50496562,0.052834078,1900,37,11,61.5,47,79,0.3,3.5,99.37380508,98.39644593,98.63029247,28.3
Timor-Leste,2016,TLS,67.18119347,1.245927515,29.399,45.6,45.4,44.55055618,25.24624959,0.645683614,150,152,18,139.8,130,150,0.4,9.9,76.65939151,52.42056634,75.14233228,61.4
Togo,2016,TGO,20.16340895,0.973941864,34.016,51.7,37.6,7.781148911,11.31,1.811697494,55,395,23.1,249.6,234,267,1.8,41.6,64.02143935,15.71230508,28.39883093,71
Tonga,2016,TON,96.53304185,0.398120622,24.977,11.7,82.7,119.2762451,39.95,0.19179611,520,53,17.5,73.3,48,107,1.2,1.4,99.90673707,93.44744852,96.59960695,37.9
Trinidad and Tobago,2016,TTO,100,0.152739311,13.662,9,80.7,561.6181641,73.29694122,0.123571631,810,68,18,38.6,30,49,0.2,0.1,98.18496206,93.39890595,..,32.1
Tunisia,2016,TUN,100,0.218477802,18.405,7.8,85.8,145.2722626,49.59999484,0.106584857,940,45,12.2,56.1,42,72,0.4,1,95.99240298,90.88012796,95.29350413,28.8
Turkey,2016,TUR,100,0.18138487,16.494,4.4,89.4,367.6174011,58.34773401,0.038059167,2600,18,11.3,46.6,29,69,0.2,0.3,98.8808736,97.24644345,99.82244537,28
Turkmenistan,2016,TKM,100,0.287053033,25.37,17.2,76.2,78.59449005,17.99032446,0.02448392,4100,8,22.9,79.3,63,100,0.6,4,98.70372359,98.27203549,97.35537,28.1
Turks and Caicos Islands,2016,TCA,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.31818182,87.98863636,..,..
Tuvalu,2016,TUV,99.16041757,..,..,..,..,428.7291565,46.00915151,..,..,..,..,..,..,..,..,..,99.26516001,84.1088306,82.75888889,..
Uganda,2016,UGA,17.69437577,0.7109397,39.8,54.5,32.9,6.22710371,21.87617046,2.133774399,47,381,20.3,155.7,155,156,2.4,31.6,47.66563132,18.45123259,26.3629738,51.1
Ukraine,2016,UKR,100,0.304597079,10.3,4.1,91,59.88135529,53,0.02880325,3500,20,16.2,70.7,51,100,1.1,0.3,93.72407865,96.22086112,97.39260155,26
United Arab Emirates,2016,ARE,100,0.093264797,10.603,6.5,76.8,938.5952759,90.60000732,0.005711886,17500,3,15.5,54.7,45,59,0.3,0.1,97.40736883,98.58189561,..,27.2
United Kingdom,2016,GBR,100,0.069485093,11.8,7.7,88.8,3159.670898,94.77580063,0.013098866,7600,7,9,13.8,11,17,0.2,0.2,100,99.11142063,99.03639669,11.8
United States,2016,USA,100,0.115860384,12.2,5.2,88.3,4982.000488,85.54442129,0.034195304,2900,19,11.8,13.3,10,17,0.8,0.2,99.26370936,99.96981214,99.98915601,8.5
Upper middle income,2016,UMC,98.45756442,0.24074848,14.82748741,7.495997628,84.27900459,248.2259285,55.224542,0.083647325,1200,44,14.15323951,82.48195101,70.00789892,96.57226918,1.052445965,1.163645617,94.3076694,86.24742825,91.36403742,25.10755372
Uruguay,2016,URY,100,0.080961235,14.057,7.6,84.9,977.1900635,66.4,0.036386855,2700,18,12.5,17.5,12,25,0.3,0.4,99.32289176,96.40118042,96.41654217,23.1
Uzbekistan,2016,UZB,100,0.404862392,22.8,10.3,83.7,62.32369614,46.79128694,0.08116469,1200,29,19.6,81.1,66,100,0.5,0.4,97.68127082,100,100,36.6
Vanuatu,2016,VUT,46.58965642,1.26314185,30.424,18.8,74.1,59.16068649,24,0.310886034,320,74,19.2,135.6,111,162,0.4,10.4,90.66152379,36.08802415,49.73298597,28.3
"Venezuela, RB",2016,VEN,99.72621852,..,18.61,11.3,69.5,71.45217133,60,0.292389482,340,121,14.5,34.6,26,45,0.2,1.4,95.77836687,93.93501902,..,30
Vietnam,2016,VNM,100,0.203734038,17.15,11.5,77.2,58.26557159,53,0.095921744,1000,44,11.5,64.5,43,95,0.1,1.6,93.99012251,81.85570363,93.61424481,33.9
Virgin Islands (U.S.),2016,VIR,100,..,13,..,..,..,59.6083158,..,..,..,..,..,..,..,..,..,98.71826738,99.37127753,..,..
